Progress,Duration (in seconds),Finished,QID1,QID31_1,QID31_2,QID27_1,QID27_2,QID28_1,QID28_2,QID28_3,QID28_4,QID30_1,QID30_2,QID30_3,QID30_4,QID3_1,QID7_1,QID8_1,QID4_1,QID9_1,QID10_1,QID5_1,QID11_1,QID12_1,QID6_1,QID13_1,QID15_1,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID16,QID16_4_TEXT,QID17,QID18,QID19,QID20
100,255,TRUE,I agree,,,,,,,,,5,2.5,1.5,1,Somewhat difficult,Somewhat agree,Somewhat satisfied,Moderately well,Neither confident nor unsure,Yes ,Somewhat safe,Probably yes,A moderate amount,Somewhat difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,27,"Black, African American","Technical, trade or vocational school AFTER high school","$35,000 to $49,999"
100,287,TRUE,I agree,,,,,,,,,5,1,2,2,Somewhat difficult,Somewhat disagree,Somewhat dissatisfied,Slightly well,Somewhat unsure,No,Very dangerous,Definitely not,None at all,Somewhat difficult,Neither successful nor unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,36,White,Less than a high school diploma,"$35,000 to $49,999"
100,220,TRUE,I agree,,,,,,,,,3,3,1,3,Somewhat easy,Neither agree nor disagree,Neither satisfied nor dissatisfied,Very well,Neither confident nor unsure,No,Somewhat safe,Probably yes,A lot,Extremely easy,Very successful,Very low,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Male,,33,"Hispanic, Latino, or Spanish",High school degree or equivalent (e.g. GED),"$50,000 to $74,999"
100,250,TRUE,I agree,,,,,,,,,6,0,2,2,Neither easy nor difficult,Somewhat agree,Neither satisfied nor dissatisfied,Moderately well,Very confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,31,White,High school degree or equivalent (e.g. GED),"Less than $20,000"
100,294,TRUE,I agree,,,,,,,,,4,2,3,1,Somewhat difficult,Somewhat disagree,Neither satisfied nor dissatisfied,Not well at all,Very unsure,Yes ,Somewhat safe,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat successful,somewhat high,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,27,"Black, African American,White",High school degree or equivalent (e.g. GED),"Less than $20,000"
100,729,TRUE,I agree,,,,,,,,,2,3,3,2,Somewhat easy,Somewhat agree,Somewhat satisfied,Slightly well,Somewhat confident,Yes ,Somewhat safe,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Extremely familiar,Male,,33,White,"2 year degree (e.g. AA, AS)","$50,000 to $74,999"
100,135,TRUE,I agree,,,,,,,,,7.5,1,1,0.5,Somewhat easy,Somewhat agree,Extremely satisfied,Very well,Somewhat confident,No,Somewhat dangerous,Probably yes,A little,Neither easy nor difficult,Somewhat successful,Neither low nor high,Extremely familiar,Extremely familiar,Extremely familiar,Extremely familiar,Extremely familiar,Extremely familiar,Male,,43,"Black, African American,White","Some college, no degree","$75,000 to $99,999"
100,472,TRUE,I agree,,,,,,,,,1,2,2,5,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat unsure,No,Somewhat safe,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,48,White,Less than a high school diploma,"$20,000 to $34,999"
100,1774,TRUE,I agree,,,,,,,,,1,2,2,5,Somewhat easy,Somewhat agree,Somewhat satisfied,Slightly well,Neither confident nor unsure,Yes ,Somewhat safe,Might or might not,A moderate amount,Neither easy nor difficult,Neither successful nor unsuccessful,Very low,Moderately familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Male,,32,"Hispanic, Latino, or Spanish,White",Less than a high school diploma,Prefer not to answer
96,152,FALSE,I agree,,,,,,,,,4,4,2,0,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Slightly well,Very confident,No,Somewhat safe,Might or might not,A moderate amount,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,35,White,"4 year degree (e.g. BA, BS)","Over $100,000"
96,194,FALSE,I agree,,,,,,,,,7,2,1,0,Extremely easy,Strongly agree,Somewhat satisfied,Very well,Somewhat unsure,No,Somewhat dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,27,White,"2 year degree (e.g. AA, AS)","$20,000 to $34,999"
96,357,FALSE,I agree,,,,,,,,,4,4,1,1,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,Yes ,Neither safe nor dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Neither successful nor unsuccessful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,24,"Black, African American",High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
96,257,FALSE,I agree,,,,,,,,,10,0,0,0,Somewhat easy,Neither agree nor disagree,Somewhat satisfied,Moderately well,Neither confident nor unsure,No,Somewhat safe,Probably not,A little,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Very familiar,Male,,35,White,"Some college, no degree","$20,000 to $34,999"
96,181,FALSE,I agree,,,,,,,,,1,3,3,3,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Somewhat safe,Might or might not,A moderate amount,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,28,"Hispanic, Latino, or Spanish","Some college, no degree","$50,000 to $74,999"
96,438,FALSE,I agree,,,,,,,,,4,4,1,1,Somewhat easy,Somewhat agree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,No,Somewhat safe,Might or might not,A moderate amount,Neither easy nor difficult,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,76,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
100,210,TRUE,I agree,,,,,2,4,2,2,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Somewhat dangerous,Probably not,None at all,Somewhat difficult,Somewhat successful,Neither low nor high,Moderately familiar,Moderately familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,31,White,"4 year degree (e.g. BA, BS)","$35,000 to $49,999"
100,230,TRUE,I agree,,,,,3,5,1,1,,,,,Extremely easy,Strongly agree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,Yes ,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,37,"American Indian, Alaska Native,White","Some college, no degree","Over $100,000"
100,600,TRUE,I agree,,,,,0,10,0,0,,,,,Neither easy nor difficult,Somewhat agree,Extremely dissatisfied,Not well at all,Very unsure,No,Neither safe nor dangerous,Might or might not,None at all,Somewhat easy,Very successful,Neither low nor high,Very familiar,Very familiar,Not familiar at all,Very familiar,Moderately familiar,Extremely familiar,Male,,49,"Black, African American","Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
100,330,TRUE,I agree,,,,,2,6,2,0,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Extremely well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A moderate amount,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Slightly familiar,Slightly familiar,Slightly familiar,Not familiar at all,Female,,31,White,Less than a high school diploma,"$50,000 to $74,999"
100,840,TRUE,I agree,,,,,3,3,2,2,,,,,Somewhat easy,Neither agree nor disagree,Neither satisfied nor dissatisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,35,"Black, African American,White","Technical, trade or vocational school AFTER high school","$35,000 to $49,999"
100,710,TRUE,I agree,,,,,4,6,0,0,,,,,Somewhat difficult,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,29,White,"4 year degree (e.g. BA, BS)","$75,000 to $99,999"
100,1355,TRUE,I agree,,,,,3,4,2,1,,,,,Somewhat easy,Somewhat disagree,Somewhat satisfied,Slightly well,Somewhat unsure,Yes ,Somewhat safe,Might or might not,A moderate amount,Neither easy nor difficult,Neither successful nor unsuccessful,Somewhat low,Moderately familiar,Slightly familiar,Slightly familiar,Very familiar,Moderately familiar,Not familiar at all,Female,,21,"Black, African American","2 year degree (e.g. AA, AS)","$20,000 to $34,999"
100,340,TRUE,I agree,,,,,3,4,3,0,,,,,Somewhat difficult,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A little,Somewhat difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,40,White,"Some college, no degree","$20,000 to $34,999"
100,349,TRUE,I agree,,,,,2,3,3,2,,,,,Somewhat difficult,Strongly disagree,Extremely dissatisfied,Not well at all,Very unsure,No,Neither safe nor dangerous,Might or might not,None at all,Somewhat difficult,Somewhat unsuccessful,Neither low nor high,Not familiar at all,Slightly familiar,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Female,,43,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
100,180,TRUE,I agree,,,,,4,4,2,0,,,,,Neither easy nor difficult,Neither agree nor disagree,Extremely satisfied,Extremely well,Neither confident nor unsure,No,Somewhat safe,Might or might not,A moderate amount,Extremely easy,Neither successful nor unsuccessful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,26,White,"Some college, no degree","Over $100,000"
100,210,TRUE,I agree,,,,,2,4,3,1,,,,,Extremely easy,Neither agree nor disagree,Somewhat satisfied,Slightly well,Neither confident nor unsure,No,Somewhat safe,Might or might not,A lot,Extremely easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,29,White,"Some college, no degree","Less than $20,000"
100,447,TRUE,I agree,,,,,1,5,2,2,,,,,Neither easy nor difficult,Somewhat agree,Neither satisfied nor dissatisfied,Moderately well,Neither confident nor unsure,No,Neither safe nor dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Neither successful nor unsuccessful,somewhat high,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,52,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$20,000 to $34,999"
100,308,TRUE,I agree,,,,,2,3,2,3,,,,,Somewhat difficult,Neither agree nor disagree,Somewhat dissatisfied,Moderately well,Somewhat unsure,Yes ,Somewhat safe,Probably yes,A moderate amount,Somewhat difficult,Neither successful nor unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Non-binary / gender non-conforming,,22,Prefer not to answer,High school degree or equivalent (e.g. GED),"Less than $20,000"
100,213,TRUE,I agree,,,,,4,3,2,1,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,46,"Hispanic, Latino, or Spanish","Some college, no degree","$35,000 to $49,999"
100,262,TRUE,I agree,,,,,1,6,1,2,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,39,"Black, African American","Some college, no degree","$75,000 to $99,999"
100,342,TRUE,I agree,,,,,4,2,2,2,,,,,Somewhat difficult,Somewhat agree,Somewhat satisfied,Slightly well,Somewhat unsure,Yes ,Somewhat safe,Probably yes,A moderate amount,Somewhat difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,38,White,"Some college, no degree","Less than $20,000"
100,150,TRUE,I agree,,,,,4,3,2,1,,,,,Somewhat easy,Somewhat agree,Neither satisfied nor dissatisfied,Very well,Neither confident nor unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,30,Asian,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
96,108,FALSE,I agree,,,,,5,2,1,2,,,,,Neither easy nor difficult,Somewhat disagree,Neither satisfied nor dissatisfied,Very well,Neither confident nor unsure,Yes ,Neither safe nor dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Neither low nor high,Slightly familiar,Moderately familiar,Moderately familiar,Moderately familiar,Slightly familiar,Moderately familiar,Male,,27,"Hispanic, Latino, or Spanish","4 year degree (e.g. BA, BS)","Over $100,000"
96,267,FALSE,I agree,,,,,7,1,1,1,,,,,Neither easy nor difficult,Somewhat disagree,Somewhat satisfied,Very well,Somewhat unsure,No,Somewhat dangerous,Probably not,A lot,Neither easy nor difficult,Somewhat successful,Neither low nor high,Moderately familiar,Very familiar,Slightly familiar,Very familiar,Moderately familiar,Moderately familiar,Female,,22,"Black, African American","4 year degree (e.g. BA, BS)","$75,000 to $99,999"
96,153,FALSE,I agree,,,,,2,4,2,2,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,Yes ,Very safe,Definitely yes,A great deal,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,34,White,"4 year degree (e.g. BA, BS)","$20,000 to $34,999"
96,257,FALSE,I agree,,,,,3,5,1,1,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Moderately well,Neither confident nor unsure,No,Somewhat dangerous,Might or might not,A little,Somewhat easy,Very successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,33,Asian,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
96,120,FALSE,I agree,,,,,2,4,2,2,,,,,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,30,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$50,000 to $74,999"
96,548,FALSE,I agree,,,,,2,8,0,0,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,No,Somewhat safe,Probably yes,A lot,Somewhat difficult,Neither successful nor unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Female,,47,"Hispanic, Latino, or Spanish","Some college, no degree","Over $100,000"
96,531,FALSE,I agree,,,,,2,5,2,1,,,,,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,No,Somewhat safe,Probably yes,A moderate amount,Extremely easy,Very successful,Very low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Male,,56,White,High school degree or equivalent (e.g. GED),"Less than $20,000"
96,262,FALSE,I agree,,,,,2,4,2,2,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Very confident,No,Somewhat dangerous,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,32,Asian,"Some college, no degree","Less than $20,000"
100,176,TRUE,I agree,,,8,2,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Slightly well,Somewhat confident,No,Somewhat dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Female,,35,White,"4 year degree (e.g. BA, BS)","Over $100,000"
100,144,TRUE,I agree,,,8,2,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,27,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
100,156,TRUE,I agree,,,4,6,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Very well,Somewhat confident,Yes ,Somewhat dangerous,Probably not,A little,Extremely easy,Somewhat successful,Very low,Very familiar,Not familiar at all,Not familiar at all,Not familiar at all,Very familiar,Not familiar at all,Female,,33,"Black, African American,White","2 year degree (e.g. AA, AS)","$35,000 to $49,999"
100,258,TRUE,I agree,,,6,4,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Somewhat satisfied,Moderately well,Neither confident nor unsure,No,Somewhat dangerous,Might or might not,A moderate amount,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,55,White,"Some college, no degree","Over $100,000"
100,155,TRUE,I agree,,,6,4,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Slightly well,Somewhat unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Extremely familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,36,White,"4 year degree (e.g. BA, BS)","Over $100,000"
100,322,TRUE,I agree,,,4,6,,,,,,,,,Neither easy nor difficult,Somewhat disagree,Somewhat dissatisfied,Slightly well,Somewhat unsure,No,Somewhat dangerous,Probably yes,A little,Somewhat easy,Neither successful nor unsuccessful,Neither low nor high,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Female,,40,"Hispanic, Latino, or Spanish",High school degree or equivalent (e.g. GED),"Over $100,000"
100,302,TRUE,I agree,,,9,1,,,,,,,,,Neither easy nor difficult,Strongly agree,Somewhat satisfied,Slightly well,Somewhat unsure,No,Somewhat safe,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,39,White,Less than a high school diploma,"Less than $20,000"
100,266,TRUE,I agree,,,10,0,,,,,,,,,Somewhat difficult,Somewhat disagree,Somewhat dissatisfied,Slightly well,Somewhat confident,Yes ,Somewhat dangerous,Probably not,A little,Somewhat difficult,Somewhat unsuccessful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,46,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
100,297,TRUE,I agree,,,3,7,,,,,,,,,Somewhat easy,Strongly agree,Somewhat satisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,42,White,"Some college, no degree","$35,000 to $49,999"
100,262,TRUE,I agree,,,4,6,,,,,,,,,Somewhat difficult,Somewhat agree,Somewhat dissatisfied,Slightly well,Very unsure,No,Somewhat dangerous,Probably not,A little,Neither easy nor difficult,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Extremely familiar,Female,,20,Asian,"Some college, no degree","Over $100,000"
100,222,TRUE,I agree,,,6,4,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Neither confident nor unsure,Yes ,Somewhat safe,Might or might not,A moderate amount,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,24,White,"Some college, no degree","$50,000 to $74,999"
100,175,TRUE,I agree,,,5,5,,,,,,,,,Extremely difficult,Strongly disagree,Extremely dissatisfied,Not well at all,Very unsure,No,Neither safe nor dangerous,Probably not,None at all,Extremely difficult,Very unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Slightly familiar,Not familiar at all,Female,,35,White,"Some college, no degree","Less than $20,000"
100,250,TRUE,I agree,,,6,4,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Slightly well,Somewhat unsure,No,Neither safe nor dangerous,Might or might not,None at all,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,35,White,"Some college, no degree","$35,000 to $49,999"
