Duration (in seconds),QID31_1,QID31_2,QID3_1,QID7_1,QID8_1,QID4_1,QID9_1,QID10_1,QID5_1,QID11_1,QID12_1,QID6_1,QID13_1,QID15_1,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID16,QID16_4_TEXT,QID17,QID18,QID19,QID20
174,5,5,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,Yes ,Very safe,Definitely yes,A great deal,Extremely easy,Very successful,Very low,Extremely familiar,Extremely familiar,Extremely familiar,Extremely familiar,Extremely familiar,Very familiar,Male,,27,White,High school degree or equivalent (e.g. GED),"$50,000 to $74,999"
166,6.5,3.5,Somewhat difficult,Somewhat disagree,Neither satisfied nor dissatisfied,Not well at all,Very confident,No,Neither safe nor dangerous,Probably yes,A little,Neither easy nor difficult,Somewhat unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,33,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
472,7,3,Extremely easy,Strongly agree,Extremely satisfied,Very well,Neither confident nor unsure,No,Neither safe nor dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Female,,53,White,High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
189,5,5,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Slightly well,Very unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,40,White,"Some college, no degree","$35,000 to $49,999"
286,7,3,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Moderately well,Neither confident nor unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,52,"American Indian, Alaska Native,White",High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
311,4,6,Somewhat easy,Somewhat agree,Somewhat satisfied,Slightly well,Somewhat unsure,No,Somewhat dangerous,Definitely not,None at all,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Female,,50,White,High school degree or equivalent (e.g. GED),"Less than $20,000"
810,10,0,Extremely easy,Somewhat disagree,Somewhat satisfied,Extremely well,Somewhat confident,No,Neither safe nor dangerous,Probably not,None at all,Extremely easy,Very successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Male,,25,"Black, African American",Less than a high school diploma,"Less than $20,000"
176,6,4,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A lot,Somewhat difficult,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,30,White,"Some college, no degree","$20,000 to $34,999"
615,5,5,Neither easy nor difficult,Somewhat disagree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,31,White,High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
466,6,4,Somewhat difficult,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat difficult,Very successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,35,White,High school degree or equivalent (e.g. GED),"$75,000 to $99,999"
172,5,5,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Female,,27,White,High school degree or equivalent (e.g. GED),"Less than $20,000"
826,6,4,Somewhat easy,Somewhat disagree,Somewhat dissatisfied,Moderately well,Somewhat confident,No,Somewhat dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,22,White,High school degree or equivalent (e.g. GED),"Over $100,000"
212,8,2,Extremely easy,Strongly agree,Extremely satisfied,Very well,Neither confident nor unsure,No,Somewhat safe,Definitely yes,A little,Extremely easy,Very successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,46,White,"Some college, no degree","$50,000 to $74,999"
432,8,2,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,32,"Hispanic, Latino, or Spanish","Some college, no degree","Over $100,000"
746,4,6,Somewhat difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Not well at all,Somewhat unsure,No,Neither safe nor dangerous,Probably yes,A lot,Somewhat difficult,Neither successful nor unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Female,,29,"American Indian, Alaska Native,Asian,White",Less than a high school diploma,"$20,000 to $34,999"
