From,To,Count
Evergreen Forest,Grassland/Pasture,32
Shrubland,Deciduous Forest,32
Evergreen Forest,Mixed Forest,31
Soybeans,Grassland/Pasture,30
Herbaceous Wetlands,Open Water,30
Grassland/Pasture,Soybeans,28
Deciduous Forest,Alfalfa,27
Deciduous Forest,Shrubland,27
Dry Beans,Corn,26
Herbaceous Wetlands,Corn,23
Open Water,Herbaceous Wetlands,20
Developed/Med Intensity,Developed/Med Intensity,19
Mixed Forest,Woody Wetlands,19
Corn,Winter Wheat,19
Soybeans,Winter Wheat,19
Oats,Other Hay/Non Alfalfa,17
Soybeans,Other Hay/Non Alfalfa,17
Evergreen Forest,Herbaceous Wetlands,16
Clover/Wildflowers,Alfalfa,16
Grassland/Pasture,Cranberries,15
Alfalfa,Clover/Wildflowers,15
Shrubland,Grassland/Pasture,13
Potatoes,Corn,13
Grassland/Pasture,Shrubland,13
Winter Wheat,Soybeans,13
Grassland/Pasture,Mixed Forest,12
Herbaceous Wetlands,Evergreen Forest,12
Corn,Oats,11
Winter Wheat,Grassland/Pasture,11
Developed/Open Space,Developed/Low Intensity,11
Clover/Wildflowers,Other Hay/Non Alfalfa,11
Woody Wetlands,Mixed Forest,11
Herbaceous Wetlands,Alfalfa,10
Corn,Barley,10
Developed/Low Intensity,Developed/Med Intensity,9
Oats,Corn,9
Woody Wetlands,Shrubland,9
Corn,Herbaceous Wetlands,9
Dry Beans,Grassland/Pasture,9
Alfalfa,Winter Wheat,9
Developed/High Intensity,Developed/High Intensity,8
Open Water,Woody Wetlands,7
Dry Beans,Alfalfa,7
Potatoes,Alfalfa,7
Woody Wetlands,Other Hay/Non Alfalfa,7
Grassland/Pasture,Potatoes,7
Shrubland,Woody Wetlands,7
Winter Wheat,Alfalfa,7
Corn,Potatoes,7
Potatoes,Grassland/Pasture,6
Developed/Med Intensity,Developed/Low Intensity,6
Winter Wheat,Other Hay/Non Alfalfa,6
Alfalfa,Herbaceous Wetlands,6
Grassland/Pasture,Winter Wheat,6
Herbaceous Wetlands,Soybeans,6
Herbaceous Wetlands,Shrubland,5
Oats,Grassland/Pasture,5
Herbaceous Wetlands,Mixed Forest,5
Corn,Dry Beans,5
Corn,Developed/Open Space,5
Woody Wetlands,Cranberries,5
Corn,Sweet Corn,5
Soybeans,Barley,5
Woody Wetlands,Alfalfa,5
Open Water,Grassland/Pasture,5
Dry Beans,Potatoes,5
Woody Wetlands,Open Water,5
Shrubland,Herbaceous Wetlands,5
Clover/Wildflowers,Corn,4
Fallow/Idle Cropland,Other Hay/Non Alfalfa,4
Evergreen Forest,Alfalfa,4
Evergreen Forest,Barren,4
Developed/Open Space,Corn,4
Open Water,Deciduous Forest,4
Peas,Potatoes,4
Potatoes,Dry Beans,4
Grassland/Pasture,Dry Beans,4
Deciduous Forest,Soybeans,4
Cranberries,Grassland/Pasture,4
Mixed Forest,Grassland/Pasture,4
Grassland/Pasture,Clover/Wildflowers,4
Sweet Corn,Corn,3
Dry Beans,Sweet Corn,3
Potatoes,Soybeans,3
Soybeans,Deciduous Forest,3
Dry Beans,Deciduous Forest,3
Corn,Spring Wheat,3
Dry Beans,Soybeans,3
Clover/Wildflowers,Grassland/Pasture,3
Grassland/Pasture,Rye,3
Evergreen Forest,Corn,3
Sweet Corn,Potatoes,3
Barren,Corn,2
Mixed Forest,Herbaceous Wetlands,2
Potatoes,Other Hay/Non Alfalfa,2
Corn,Barren,2
Potatoes,Sweet Corn,2
Oats,Deciduous Forest,2
Rye,Herbaceous Wetlands,2
Winter Wheat,Deciduous Forest,2
Soybeans,Herbaceous Wetlands,2
Dry Beans,Barren,2
Developed/Open Space,Grassland/Pasture,2
Soybeans,Sweet Corn,2
Rye,Grassland/Pasture,2
Winter Wheat,Sweet Corn,2
Grassland/Pasture,Open Water,2
Deciduous Forest,Open Water,2
Fallow/Idle Cropland,Grassland/Pasture,2
Alfalfa,Cranberries,2
Developed/Low Intensity,Corn,2
Grassland/Pasture,Fallow/Idle Cropland,2
Soybeans,Spring Wheat,2
Misc Vegs & Fruits,Potatoes,2
Soybeans,Evergreen Forest,1
Sweet Corn,Dry Beans,1
Sweet Corn,Grassland/Pasture,1
Sweet Corn,Winter Wheat,1
Soybeans,Woody Wetlands,1
Shrubland,Other Hay/Non Alfalfa,1
Winter Wheat,Cucumbers,1
Shrubland,Evergreen Forest,1
Shrubland,Shrubland,1
Winter Wheat,Herbs,1
Winter Wheat,Open Water,1
Winter Wheat,Winter Wheat,1
Soybeans,Shrubland,1
Woody Wetlands,Corn,1
Soybeans,Oats,1
Winter Wheat,Barley,1
Alfalfa,Potatoes,1
Rye,Corn,1
Evergreen Forest,Cranberries,1
Dry Beans,Herbaceous Wetlands,1
Developed/Open Space,Soybeans,1
Developed/Open Space,Developed/Med Intensity,1
Developed/High Intensity,Developed/Med Intensity,1
Deciduous Forest,Oats,1
Deciduous Forest,Dry Beans,1
Alfalfa,Evergreen Forest,1
Deciduous Forest,Clover/Wildflowers,1
Cranberries,Woody Wetlands,1
Cranberries,Deciduous Forest,1
Cranberries,Cranberries,1
Cranberries,Alfalfa,1
Corn,Woody Wetlands,1
Corn,Shrubland,1
Corn,Rye,1
Corn,Cucumbers,1
Corn,Clover/Wildflowers,1
Clover/Wildflowers,Winter Wheat,1
Clover/Wildflowers,Soybeans,1
Clover/Wildflowers,Deciduous Forest,1
Clover/Wildflowers,Clover/Wildflowers,1
Barren,Herbaceous Wetlands,1
Alfalfa,Woody Wetlands,1
Dry Beans,Other Hay/Non Alfalfa,1
Evergreen Forest,Open Water,1
Potatoes,Winter Wheat,1
Evergreen Forest,Potatoes,1
Potatoes,Deciduous Forest,1
Open Water,Winter Wheat,1
Open Water,Rye,1
Open Water,Potatoes,1
Open Water,Herbs,1
Open Water,Dry Beans,1
Open Water,Corn,1
Oats,Sweet Corn,1
Oats,Soybeans,1
Oats,Barren,1
Mixed Forest,Corn,1
Misc Vegs & Fruits,Sweet Corn,1
Misc Vegs & Fruits,Soybeans,1
Herbaceous Wetlands,Sweet Corn,1
Herbaceous Wetlands,Potatoes,1
Herbaceous Wetlands,Cranberries,1
Herbaceous Wetlands,Clover/Wildflowers,1
Herbaceous Wetlands,Aquaculture,1
Grassland/Pasture,Developed/Open Space,1
Grassland/Pasture,Barley,1
Fallow/Idle Cropland,Winter Wheat,1
Fallow/Idle Cropland,Deciduous Forest,1
Fallow/Idle Cropland,Alfalfa,1
Grassland/Pasture,Oats,1
