StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15,Q16,Q17,Q18,Q19
2024-08-14 10:31:30,2024-08-14 10:31:30,Survey Test,,100,0,True,2024-08-14 10:31:30,R_6Fn36HE2g0wV3Wm,,,,,,,test,,,,,,94,0,2,4,Neither easy nor difficult,Neither agree nor disagree,Extremely satisfied,Moderately well,Somewhat unsure,Neither likely nor unlikely,Neither safe nor dangerous,Might or might not,Click to write Scale Point 1,,,,Female,2082830612,"American Indian, Alaska Native,Black, African American,Hispanic, Latino, or Spanish,Native Hawaiian or Other Pacific Islander,White",Less than a high school diploma,"$50,000 to $74,999"
2024-08-14 10:31:31,2024-08-14 10:31:31,Survey Test,,100,0,True,2024-08-14 10:31:31,R_8zWMB0o1hQOaCrQ,,,,,,,test,,,,,,74,26,0,0,Neither easy nor difficult,Somewhat disagree,Somewhat satisfied,Not well at all,Neither confident nor unsure,Neither likely nor unlikely,Somewhat safe,Definitely yes,Click to write Scale Point 4,Somewhat difficult,Somewhat unsuccessful,somewhat high,,,,,
2024-08-14 10:31:31,2024-08-14 10:31:31,Survey Test,,100,0,True,2024-08-14 10:31:31,R_aeKxOHXYxmkd7oy,,,,,,,test,,59,6,33,2,,,,,Somewhat easy,Neither agree nor disagree,Somewhat dissatisfied,Not well at all,Somewhat unsure,Extremely likely,,,,Somewhat easy,Somewhat successful,Very low,Prefer to self-describe,1761084387,"Black, African American,Middle Eastern and North African,Native Hawaiian or Other Pacific Islander","Technical, trade or vocational school AFTER high school",Prefer not to answer
2024-08-14 10:31:31,2024-08-14 10:31:31,Survey Test,,100,0,True,2024-08-14 10:31:32,R_6KGz5HWoDCBzPGS,,,,,,,test,,,,,,65,35,0,0,Somewhat easy,Strongly disagree,Neither satisfied nor dissatisfied,,,,Somewhat safe,Probably yes,Click to write Scale Point 5,Neither easy nor difficult,Very unsuccessful,somewhat high,Prefer to self-describe,422324077,"American Indian, Alaska Native,Asian,Black, African American,Hispanic, Latino, or Spanish,Middle Eastern and North African,Native Hawaiian or Other Pacific Islander,White","4 year degree (e.g. BA, BS)","$20,000 to $34,999"
2024-08-14 10:31:32,2024-08-14 10:31:32,Survey Test,,100,0,True,2024-08-14 10:31:32,R_d5rGuLiJY7kxq8S,,,,,,,test,,82,1,9,8,,,,,Extremely difficult,Neither agree nor disagree,Extremely satisfied,Not well at all,Very confident,Somewhat likely,Neither safe nor dangerous,Might or might not,Click to write Scale Point 2,Extremely easy,Neither successful nor unsuccessful,Very higher,,,,,
2024-08-14 10:31:32,2024-08-14 10:31:32,Survey Test,,100,0,True,2024-08-14 10:31:32,R_3pKCCBb0Mfgowey,,,,,,,test,,13,86,1,0,,,,,Extremely difficult,Strongly disagree,Somewhat satisfied,Extremely well,Very unsure,Somewhat likely,Somewhat dangerous,Probably yes,Click to write Scale Point 4,Somewhat easy,Somewhat successful,Somewhat low,,,,,
2024-08-14 10:31:32,2024-08-14 10:31:33,Survey Test,,100,1,True,2024-08-14 10:31:33,R_8ud9phvxV0H0paC,,,,,,,test,,,,,,27,48,0,25,Neither easy nor difficult,Neither agree nor disagree,Extremely dissatisfied,Not well at all,Neither confident nor unsure,Neither likely nor unlikely,Neither safe nor dangerous,Probably not,Click to write Scale Point 1,,,,Prefer to self-describe,830790911,"Asian,Black, African American,Middle Eastern and North African,White",Less than a high school diploma,"$75,000 to $99,999"
2024-08-14 10:31:33,2024-08-14 10:31:33,Survey Test,,100,0,True,2024-08-14 10:31:33,R_6hafFK7Yof8oIo6,,,,,,,test,,,,,,59,18,15,8,,,,Not well at all,Neither confident nor unsure,Somewhat unlikely,Very dangerous,Definitely not,Click to write Scale Point 3,Extremely easy,Somewhat unsuccessful,Very low,Prefer to self-describe,515311591,"Hispanic, Latino, or Spanish,Middle Eastern and North African,White","4 year degree (e.g. BA, BS)","$75,000 to $99,999"
2024-08-14 10:31:33,2024-08-14 10:31:33,Survey Test,,100,0,True,2024-08-14 10:31:33,R_9TBIqCRiT6UNjO6,,,,,,,test,,77,15,5,3,,,,,Neither easy nor difficult,Neither agree nor disagree,Extremely satisfied,Extremely well,Neither confident nor unsure,Extremely likely,,,,Extremely difficult,Somewhat successful,Somewhat low,Male,1185588701,"Asian,Black, African American,Hispanic, Latino, or Spanish,Middle Eastern and North African,White",High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
2024-08-14 10:31:34,2024-08-14 10:31:34,Survey Test,,100,0,True,2024-08-14 10:31:34,R_37PMaKp6gJeqIhE,,,,,,,test,,76,20,2,2,,,,,Extremely difficult,Somewhat agree,Extremely dissatisfied,Very well,Somewhat unsure,Somewhat likely,Somewhat safe,Might or might not,Click to write Scale Point 3,,,,Female,370012184,"Middle Eastern and North African,Native Hawaiian or Other Pacific Islander","Technical, trade or vocational school AFTER high school","Over $100,000"
2024-08-14 10:31:34,2024-08-14 10:31:34,Survey Test,,100,0,True,2024-08-14 10:31:34,R_a3rlcq2eUwCmk9U,,,,,,,test,,,,,,41,35,5,19,Neither easy nor difficult,Strongly agree,Extremely dissatisfied,Extremely well,Somewhat confident,Somewhat unlikely,Very safe,Definitely not,Click to write Scale Point 3,Extremely easy,Very successful,Neither low nor high,,,,,
2024-08-14 10:31:34,2024-08-14 10:31:34,Survey Test,,100,0,True,2024-08-14 10:31:35,R_4UvjXjJJq5WdRsO,,,,,,,test,,,,,,63,5,12,20,Extremely easy,Neither agree nor disagree,Neither satisfied nor dissatisfied,Very well,Very unsure,Somewhat likely,Very safe,Definitely yes,Click to write Scale Point 3,Extremely easy,Somewhat successful,Neither low nor high,,,,,
2024-08-14 10:31:35,2024-08-14 10:31:35,Survey Test,,100,0,True,2024-08-14 10:31:35,R_ezVybEBy4cCVzbo,,,,,,,test,,56,14,4,26,,,,,,,,Not well at all,Very confident,Extremely likely,Somewhat dangerous,Definitely yes,Click to write Scale Point 2,Somewhat easy,Somewhat unsuccessful,somewhat high,Male,1160255251,"American Indian, Alaska Native,Asian,Black, African American,Hispanic, Latino, or Spanish,Middle Eastern and North African,Native Hawaiian or Other Pacific Islander","4 year degree (e.g. BA, BS)","$35,000 to $49,999"
2024-08-14 10:31:35,2024-08-14 10:31:35,Survey Test,,100,0,True,2024-08-14 10:31:35,R_cLKa1mTCrHQR9Gu,,,,,,,test,,,,,,99,1,0,0,Somewhat difficult,Strongly agree,Extremely satisfied,Extremely well,Somewhat unsure,Neither likely nor unlikely,Neither safe nor dangerous,Probably not,Click to write Scale Point 2,Extremely difficult,Very unsuccessful,somewhat high,,,,,
2024-08-14 10:31:36,2024-08-14 10:31:36,Survey Test,,100,0,True,2024-08-14 10:31:36,R_5nF1ajSv6XYa7Ge,,,,,,,test,,83,13,0,4,,,,,Extremely difficult,Strongly agree,Somewhat satisfied,Extremely well,Very confident,Extremely likely,,,,Somewhat easy,Neither successful nor unsuccessful,somewhat high,Non-binary / gender non-conforming,944809062,"American Indian, Alaska Native,Asian,Black, African American,Hispanic, Latino, or Spanish,Middle Eastern and North African,Native Hawaiian or Other Pacific Islander",Less than a high school diploma,Prefer not to answer
2024-08-14 10:31:36,2024-08-14 10:31:36,Survey Test,,100,0,True,2024-08-14 10:31:36,R_0cR7b3PaFJyar6m,,,,,,,test,,,,,,37,53,0,10,,,,Not well at all,Very confident,Extremely unlikely,Very dangerous,Might or might not,Click to write Scale Point 1,Somewhat difficult,Somewhat successful,Very low,Prefer to self-describe,1990866550,"American Indian, Alaska Native,Asian,Black, African American,Hispanic, Latino, or Spanish","Som college, no degree","Less than $20,000"
2024-08-14 10:31:36,2024-08-14 10:31:36,Survey Test,,100,0,True,2024-08-14 10:31:37,R_eQDqQd5AGfRY29w,,,,,,,test,,30,21,12,37,,,,,Extremely easy,Strongly disagree,Neither satisfied nor dissatisfied,Extremely well,Neither confident nor unsure,Extremely likely,Somewhat dangerous,Definitely not,Click to write Scale Point 3,,,,Prefer to self-describe,1246051429,"American Indian, Alaska Native,Hispanic, Latino, or Spanish,White","2 year degree (e.g. AA, AS)","$35,000 to $49,999"
